event,type,time,stamp,data0,data1,data2
182,com.google.wear.sensor.ppg,2022-11-06T00:49:36.851,3471441506216,9644735.0,2.97511E7,0.0
183,com.google.wear.sensor.ppg,2022-11-06T00:49:36.852,3471451438721,9642813.0,2.9755702E7,0.0
184,com.google.wear.sensor.ppg,2022-11-06T00:49:36.854,3471461371211,9642246.0,2.974542E7,0.0
185,com.google.wear.sensor.ppg,2022-11-06T00:49:36.855,3471471303716,9641935.0,2.9765488E7,0.0
186,com.google.wear.sensor.ppg,2022-11-06T00:49:36.856,3471481236221,9641078.0,2.9764584E7,0.0
187,com.google.wear.sensor.ppg,2022-11-06T00:49:36.857,3471491168726,9642520.0,2.9753428E7,0.0
188,com.google.wear.sensor.ppg,2022-11-06T00:49:36.859,3471501101231,9642549.0,2.9743556E7,0.0
189,com.google.wear.sensor.ppg,2022-11-06T00:49:36.860,3471511033736,9644566.0,2.975978E7,0.0
190,com.google.wear.sensor.ppg,2022-11-06T00:49:37.045,3471520966242,9644838.0,2.9753456E7,0.0
191,com.google.wear.sensor.ppg,2022-11-06T00:49:37.047,3471530900199,9642727.0,2.974868E7,0.0
192,com.google.wear.sensor.ppg,2022-11-06T00:49:37.049,3471540834156,9649090.0,2.974638E7,0.0
193,com.google.wear.sensor.ppg,2022-11-06T00:49:37.049,3471550768113,9647403.0,2.9752264E7,0.0
194,com.google.wear.sensor.ppg,2022-11-06T00:49:37.050,3471560702070,9644556.0,2.9776908E7,0.0
195,com.google.wear.sensor.ppg,2022-11-06T00:49:37.051,3471570636027,9642821.0,2.9749236E7,0.0
196,com.google.wear.sensor.ppg,2022-11-06T00:49:37.052,3471580569984,9642021.0,2.9753722E7,0.0
197,com.google.wear.sensor.ppg,2022-11-06T00:49:37.052,3471590503941,9640569.0,2.9753896E7,0.0
198,com.google.wear.sensor.ppg,2022-11-06T00:49:37.053,3471600437898,9645668.0,2.9756342E7,0.0
199,com.google.wear.sensor.ppg,2022-11-06T00:49:37.054,3471610371855,9640211.0,2.9758292E7,0.0
200,com.google.wear.sensor.ppg,2022-11-06T00:49:37.055,3471620305812,9645132.0,2.9765458E7,0.0
201,com.google.wear.sensor.ppg,2022-11-06T00:49:37.111,3471630239769,9646178.0,2.9745596E7,0.0
202,com.google.wear.sensor.ppg,2022-11-06T00:49:37.112,3471640173726,9643944.0,2.9763244E7,0.0
